Date,Open,High,Low,Close,Volume
2016.09.28,1324.77,1325.23,1324.49,1324.66,693
2016.09.28,1324.6,1324.97,1323.61,1324.46,797
2016.09.28,1324.48,1324.52,1322.95,1323.16,1036
2016.09.28,1323.16,1323.68,1322.53,1322.59,1015
2016.09.28,1322.6,1323.89,1322.34,1323.43,1364
2016.09.28,1323.38,1323.4,1322.74,1323.06,1313
2016.09.28,1323.03,1323.48,1322.66,1323.3,1199
2016.09.28,1323.28,1323.56,1323.02,1323.4,860
2016.09.28,1323.4,1324.08,1323.2,1323.93,811
2016.09.28,1323.97,1324.45,1323.79,1324.13,652
2016.09.28,1324.08,1324.54,1323.73,1324.53,535
2016.09.28,1324.56,1325.02,1324.36,1324.62,618
2016.09.28,1324.67,1324.91,1324.57,1324.7,479
2016.09.28,1324.7,1325.16,1324.63,1324.82,405
2016.09.28,1324.78,1325.57,1324.5,1325.51,467
2016.09.28,1325.5,1326.57,1325.11,1325.22,763
2016.09.28,1325.21,1325.79,1325.15,1325.41,533
2016.09.28,1325.45,1325.61,1325,1325.49,833
2016.09.28,1325.48,1326.18,1325.13,1326.03,1052
2016.09.28,1326.01,1326.01,1325,1325.22,550
2016.09.28,1325.27,1325.97,1325.14,1325.81,425
2016.09.28,1325.9,1326.87,1325.76,1326.74,752
2016.09.28,1326.72,1326.76,1325.76,1325.97,638
2016.09.28,1325.96,1326.01,1325.27,1325.42,615
2016.09.28,1325.39,1326.5,1325.04,1325.08,981
2016.09.28,1325.09,1325.09,1324.02,1324.6,749
2016.09.28,1324.52,1324.89,1323.75,1323.82,906
2016.09.28,1323.82,1323.87,1322.98,1323.42,801
2016.09.28,1323.36,1324.67,1322.81,1323.89,1089
2016.09.28,1323.89,1324.92,1323.51,1323.51,880
2016.09.28,1323.6,1323.81,1321.86,1322.08,2146
2016.09.28,1322.09,1322.79,1321.76,1322.68,775
2016.09.28,1322.77,1322.97,1321.74,1322,1148
2016.09.28,1321.98,1322.51,1320.47,1320.53,1274
2016.09.28,1320.57,1320.68,1317.92,1319.69,1504
2016.09.28,1319.67,1320.37,1319.45,1319.98,1192
2016.09.28,1320,1320.9,1319.54,1320.54,959
2016.09.28,1320.54,1322.22,1320.5,1321.42,1121
2016.09.28,1321.34,1321.75,1320.67,1321.65,819
2016.09.28,1321.73,1321.93,1319.39,1319.46,711
2016.09.28,1319.47,1319.98,1318.92,1319.63,701
2016.09.28,1319.72,1321.72,1319.22,1321.62,1558
2016.09.28,1321.61,1321.62,1320.67,1320.9,2201
2016.09.28,1320.9,1321.27,1320.18,1320.56,2446
2016.09.28,1320.64,1323.02,1320.54,1322.13,2288
2016.09.28,1322.14,1323,1321.53,1322.46,1306
2016.09.28,1322.47,1323.5,1322.35,1323.38,2230
2016.09.28,1323.36,1324.08,1322.29,1322.51,2116
2016.09.28,1322.57,1322.88,1320.57,1322.07,1994
2016.09.28,1322.05,1322.63,1321.56,1322.15,1915
2016.09.28,1322.13,1322.58,1321.84,1322.18,1751
2016.09.28,1322.19,1322.67,1322.07,1322.41,1579
2016.09.28,1322.42,1322.53,1321.95,1322.43,1449
2016.09.28,1322.43,1323.26,1322.05,1322.77,1595
2016.09.28,1322.79,1323.16,1322.5,1323.14,727
2016.09.28,1323.13,1323.17,1321.93,1322.33,778
2016.09.28,1322.08,1322.37,1321.52,1321.74,188
2016.09.28,1321.77,1321.97,1321.14,1321.52,273
2016.09.29,1321.46,1322.48,1321.44,1321.89,324
2016.09.29,1321.89,1321.89,1321.2,1321.63,385
2016.09.29,1321.55,1322.3,1321.54,1322.1,606
2016.09.29,1322.07,1322.58,1322.07,1322.38,389
2016.09.29,1322.31,1323.56,1322.13,1323.42,846
2016.09.29,1323.41,1323.77,1323.21,1323.36,768
2016.09.29,1323.34,1323.46,1322.67,1322.97,662
2016.09.29,1322.96,1323.59,1322.75,1323.37,1454
2016.09.29,1323.36,1324.69,1322.7,1324.53,1956
2016.09.29,1324.53,1325.71,1324.51,1325.34,1329
2016.09.29,1325.32,1325.49,1324.73,1324.79,976
2016.09.29,1324.78,1324.91,1324.07,1324.18,1121
2016.09.29,1324.17,1324.49,1322.72,1323.14,1633
2016.09.29,1323.14,1323.27,1322.44,1323.25,1700
2016.09.29,1323.24,1325.23,1323.21,1324.83,1846
2016.09.29,1324.82,1325.58,1324.4,1324.43,1720
2016.09.29,1324.4,1325.71,1323.94,1324.22,1797
2016.09.29,1324.23,1324.82,1324.18,1324.72,998
2016.09.29,1324.73,1324.79,1324.36,1324.54,995
2016.09.29,1324.59,1324.93,1324.44,1324.73,984
2016.09.29,1324.82,1325.38,1324.78,1325.16,784
2016.09.29,1325.16,1325.19,1324.69,1325.01,715
2016.09.29,1325.01,1325.11,1324.8,1324.9,691
2016.09.29,1324.91,1324.92,1324.19,1324.48,721
2016.09.29,1324.47,1324.8,1324.4,1324.63,802
